Sneaker Type,Price
Rick Owens Wmns Lunar Mega Tractor Boot 'Pearl',"$4,082"
Air Jordan 4 Retro SE GS 'Wet Cement',$157
Yeezy Boost 350 V2 'MX Dark Salt',$150
2002R 'Black Magnet',$146
Air Jordan 4 Retro PS 'White Thunder',$106
Air Jordan 11 Retro 'Cool Grey' 2021,$162
Hello Kitty x Wmns Sambae 'White Black Clear Pink',$135
Zoom KD 4 'Nerf' 2024,$124
Kobe 9 Elite Low Protro 'Halo',$191
Air Jordan 13 Retro 'Dune Red',$136
Air Jordan 17 Retro Low SP 'UNC' 2024,$418
A Ma Maniére x Wmns Air Jordan 4 Retro 'While You Were Sleeping',$257
Air Jordan 1 Retro High OG 'Denim',$111
Air Zoom Vomero 5 'Cool Grey',$127
Air Jordan 3 Retro 'White Cement Reimagined',$150
Wmns Samba OG 'Mineral Green',$121
Wmns Air Jordan 4 Retro 'Orchid',$340
Alexis Sablone x Dunk Low SB 'Chameleon',$139
Zoom Kobe 4 Protro 'Gold Medal' 2024,$181
Air Jordan 5 Retro 'El Grito - Sail',$232
Yeezy Boost 350 V2 'Bone',$170
Air Jordan 1 Mid SE 'Neutral Grey Sail',$85
9060 'Black Castlerock',$137
Yeezy Boost 350 V2 'Carbon Beluga',$165
Dunk Low 'Michigan State',$87
G-Dragon x Air Force 1 '07 'Para-Noise 3.0',$225
Knu-Skool 'Black White',$69
Travis Scott x Air Jordan 1 Retro Low OG SP 'Black Phantom',$631
Wmns Air Zoom Vomero 5 'Pale Ivory Sanddrift',$100
Travis Scott x Wmns Air Jordan 1 Retro Low OG SP 'Michael Rubin White Party' Friends & Family,$258
Air Jordan 1 Retro High OG 'Chicago Lost & Found',$258
Wmns Samba OG 'White Lucid Pink',$90
Wmns Air Zoom Vomero 5 'Racer Blue',$110
1000 'Real Pink Sandstone',$197
Gel NYC 'Cream Pink',$154
Air Force 1 Low '07 Premium 'Oil Green Safety Orange',$142
Yeezy Foam Runner 'MX Granite',$86
Gel Nimbus 9 'Vanilla Black',$163
Wmns Samba OG 'Off White Dark Blue',$131
Kobe 9 Elite Protro 'Halo',$177
Air Jordan 4 RM 'Black Light Bone',$108
Wmns Dunk Low 'Olive Aura',$86
Air Jordan 4 Retro 'Thunder' 2023,$255
Supreme x Air Force 1 Low 'Box Logo - Black',$208
Teddy Santis x 990v6 Made in USA 'Reflection Marblehead',$135
Dunk Low 'Viotech White',$72
Gel 1130 'White Black',$112
Air DT Max '96 'Colorado Home',$145
P-6000 'Metallic Silver',$110
Dunk Low SB 'Trocadéro Gardens',$97
Samba OG 'Cream White Preloved Brown',$111
Wmns Air Jordan 1 Low SE 'Black Croc',$122
Gel Kayano 14 'Silver Cream',$154
Air VaporMax 2023 Flyknit 'Black Red University Blue',$211
Air Foamposite One 'Royal' 2024,$219
Dunk Low SB 'Burnt Sunrise',$90
Travis Scott x Air Force 1 'Utopia',$127
Verdy x Dunk Low SB 'Visty',$394
Wmns Dunk Low 'Photon Dust',$84
Air Jordan 1 Mid SE 'Oxidized Green',$87
Dunk Low 'Gym Red',$89
Kobe 8 Protro 'Lakers Home',$187
Wmns Air Jordan 1 Low SE 'Paw Print',$115
1906L 'Silver Shadow Grey',$213
Wmns Air Jordan 4 Retro 'Metallic Gold',$205
Air Jordan 4 Retro 'Midnight Navy',$308
9060 'Concrete',$149
Air Jordan 4 Retro 'Black Cat' 2020,$964
1000 'Mallard Green Sea Salt',$151
Harden Vol. 8 'After Hours',$111
2002R 'Protection Pack - Rain Cloud',$159
Air Jordan 1 Retro High OG 'Black Toe Reimagined',$236
Wmns Sk8 Sta #51 'Pink',$352
Gel 1130 'White Cloud Grey',$118
Wmns Handball Spezial 'Corduroy Pack - Shadow Red',$132
Air Jordan 11 Retro 'Bred' 2019,$308
Air Jordan 1 Retro High OG 'Patent Bred',$204
Cars x Classic Clog 'Lightning McQueen',$96
Air Jordan 4 Retro 'Military Black',$393
La Francé 'Untouchable',$120
Dunk Low 'Strawberry Waffle',$102
Air Jordan 1 Retro High OG 'Royal Reimagined',$117
1906R 'Silver Metallic Black',$143
Bad Bunny x Gazelle Indoor 'Core White',$152
Kobe 8 Protro 'University Red',$199
Dunk Low SE 'Phantom Khaki',$109
AE 1 Low 'Ascent Pack',$107
Gel Kayano 14 'Cream Sweet Pink',$169
1000 'Reflective Pack - Black Honeycomb',$131
Air Max Plus TNPO 'Wolf Grey',$132
Union LA x Field General 'Shimmer',$132
Nigel Sylvester x Air Jordan 4 RM SP 'Fence Green',$337
Gel Kayano 14 'Metropolis Jasper Green',$147
Yeezy Boost 700 MNVN 'Metallic',$112
Air Force 1 Low 'Paris',$97
Campus 00s 'Core Black Gum',$79
Air Max 1 Essential 'White Black',$101
Wmns Samba OG 'White Clear Granite',$102
Air Jordan 11 Retro 'Cherry',$256
Air Jordan 1 Retro High '85 OG 'Metallic Burgundy',$117
JJJJound x Samba OG 'Tobacco',$124
Air DT Max '96 'Colorado Away - White Black',$123
NOCTA x Hot Step 2 'Eggplant',$338
Gel NYC 'Graphite Grey Black',$144
Giannis Freak 6 NRG 'Roses',$156
AE 1 Low 'Mural',$111
Air Jordan 4 Retro SE Craft 'Photon Dust',$137
6 Inch Premium Waterproof Boot 'Wheat',$141
2002R 'Black Gunmetal',$100
Wmns Handball Spezial 'Leopard Stripes',$122
P-6000 Premium 'Triple Black',$90
Ja 1 'Reverse Scratch',$87
Nike Mag 2016 'Auto-Lacing',"$117,962"
Kobe 8 Protro 'Lakers Away',$198
Book 1 'Sun Bleached',$111
Wmns Dunk Low 'Safari Print Pack - Phantom',$99
Air Jordan 5 Retro 'Olive' 2024,$155
Air Jordan 12 Retro 'Taxi Flip',$195
D.O.N. Issue #6 'Spida Elite Camp',$109
Handball Spezial 'Night Indigo',$121
1906R 'Silver Metallic Nightwatch Green',$121
Dunk Low 'Miami Dolphins',$84
Air Jordan 4 Retro 'Red Cement',$235
LeBron 21 Premium 'Grandma's Couch Pack - Pearl of Z',$128
Kobe 8 Protro 'Wolf Grey',$199
Air Force 1 Low 'NY vs. NY 2024',$110
Gel NYC 'Cream Oyster Grey',$142
Wmns Air Jordan 1 High Zoom Comfort 2 SE 'You're Welcome',$116
Wmns TC 7900 'Pale Ivory Armory Navy',$122
Wmns Samba OG 'Off White Wonder Gold Metallic',$107
Wmns Dunk Low 'Give Her Flowers',$93
Wmns Sabrina 2 EP 'Conductor',$135
Air Jordan 1 Low SE 'Oxidized Green',$87
Air Jordan 4 Retro SE Craft 'Olive',$180
YZY Pod 'Black',$38
Yeezy Slides 'Granite',$85
Air Jordan 3 Retro 'Wings',$282
Air Jordan 5 Retro 'Raging Bull' 2021,$171
Wmns Gazelle Indoor 'Sandy Pink Gum',$117
Samba OG '75th Anniversary',$124
2002R 'Protection Pack - Phantom',$193
Alien Romulus x BB4000 2 Mid 'Weyland-Yutani',$251
Air Jordan 1 Mid 'Gym Red Black White',$89
Wmns Dunk Low Next Nature 'Black Raspberry',$94
Supreme x Air Force 1 Mid 'Box Logo - Triple White',$167
Dunk Low 'Silver Surfer' 2024,$92
MB.03 'Miami',$124
Dunk Low 'Polar Blue',$80
Air Jordan 5 Retro SE 'Sail',$158
Gel 1130 'Pale Oak Grand Shark',$120
Wmns Air Jordan 6 Retro Craft 'Pearl',$102
Comme des Garçons PLAY x Chuck 70 High 'Single Heart - Milk',$119
Yeezy Slides 'Azure',$78
Concepts x Dunk Low SB 'Orange Lobster',$285
Bad Bunny x Campus 'The Last Campus',$122
Air Jordan 3 Retro 'Green Glow',$139
Travis Scott x Wmns Air Jordan 1 Retro Low OG SP 'Olive',$463
Dunk Low LTD 'Biker Tattoos',$90
Air Jordan 11 Retro Low PS 'Diffused Blue',$83
Wmns Air Jordan 1 Low 'White Wolf Grey',$96
Wmns Dunk Low 'Neapolitan',$116
Wmns Dunk Low 'Valentine's Day 2024',$69
Samba Leather 'Core Black',$60
Wmns Air Jordan 1 Retro High OG 'First in Flight',$111
Air Jordan 4 Retro TD 'White Thunder',$80
Dunk Low 'Glacier Blue',$82
Travis Scott x Air Jordan 1 Retro Low OG 'Reverse Mocha',"$1,109"
WNBA x Wmns Air Jordan 3 Retro 'Desert Camo',$92
Air Jordan 4 Retro 'Red Thunder',$380
Wmns Gazelle Indoor 'Focus Olive Clear Pink',$163
Wmns Air Jordan 4 Retro 'Vivid Sulfur',$138
Air Jordan 11 Retro 'Concord' 2018,$382
Air Jordan 6 Retro 'Reverse Oreo',$156
Yeezy Boost 350 V2 'Bred',$182
Wmns Air Jordan 1 Retro High OG 'Latte',$105
Balenciaga Track LED Sneaker 'Black',"$1,365"
Wmns Air Jordan 4 Retro 'Frozen Moments',$287
Air Zoom Alphafly NEXT% 3 'Blueprint Pack',$297
Air Jordan 3 Retro OG 'Black Cement' 2024,$372
1906D 'Protection Pack - White Turtledove',$144
Killshot 2 'Black Phantom',$86
Dunk Low SE 'The Masters Back 9 Collection',$72
1000 'Reflective Pack - Raincloud',$112
MB.03 Lo Team 'Hyperlink Blue',$118
Marvel x Rivalry 86 Low 'Deadpool',$125
Air Jordan 1 Mid Patent SE 'Black Gold',$124
Jordan Spizike Low 'White Black Metallic Gold',$110
PS8 SB 'Black Clear',$107
Kobe 8 Protro 'Venice Beach' 2024,$189
Air VaporMax Plus 'Triple Black',$161
Patta x Air Max 1 'Chlorophyll' 2024,$257
Wmns Dunk Low 'Black White',$87
Eames Office x Classic Leather 'Fiberglass Pack - Sandtrap',$37
Handball Spezial 'Collegiate Navy Clear Sky',$97
Futura Laboratories x Dunk Low SB 'Bleached Aqua',$263
Joe Freshgoods x 990v6 Made in USA 'A Friend Named Cousin - Prom Blue',$162
Mexico 66 Vintage 'Birch Black',$157
Wmns Samba OG 'Earth Strata',$138
Gel 1130 'Clay Canyon',$111
Air Jordan 1 High 'What The Doernbecher',"$230,012"
The Whitaker Group x 1906U 'Willful Bias Pack - Electric Teal',$170
Air Jordan 1 Retro High OG 'Black White 2.0',$98
Jacquemus x Wmns Air Max 1 '86 'Big Bubble - Mystic Red',$120
Wmns Air Zoom Vomero 5 'Photon Dust Black',$125
Jordan Max Aura 6 'Black Anthracite',$111
530 'White Natural Indigo',$95
9060 'Triple Black Suede',$212
Air Max 97 'Triple White',$98
Wmns Samba OG 'Black Floral Embroidery',$110
Air Jordan 4 Retro 'Fear' 2024,$687
Hello Kitty x Wmns Gazelle Indoor '50th Anniversary',$188
Dunk Low 'White Midnight Navy',$110
Air Max Plus 'Sunset' 2024,$134
NMD_R1 V2 'Core Black',$58
Wmns Handball Spezial 'Corduroy Pack - Mineral Green',$118
RTFKT x Dunk Genesis 'Void',$386
Air Jordan 2/3 'White Cement',$110
RC42 'Marsh Green',$46
Alexander McQueen Wmns Oversized Sneaker 'White Rose Gold',$312
Air Jordan 4 Retro 'White Oreo',$354
AE 1 'Pure Ruby',$110
Wmns Gel 1130 'White Neutral Pink',$109
Kai 1 'Garden State',$166
AE 1 Low 'USA - Night Indigo',$171
Supreme x Air Force 1 Low 'Box Logo - White',$148
Wmns Shox R4 'Blue Woman Group',$106
9060 'Rain Cloud',$124
Zoom Kobe 6 Protro 'Reverse Grinch',$240
Kith x RC 1300 'Malibu',$112
Wmns Air Max Genome 'White Crimson Bliss',$37
Zoom Kobe 4 Protro 'Girl Dad',$125
Wmns Dunk Low Next Nature 'Gym Red',$86
Yeezy 500 'Stone Taupe',$126
Handball Spezial 'Black Off White Red',$134
Nina Chanel Abney x Wmns Air Jordan 3 Retro SP 'Bicoastal',$167
Air Jordan 11 Retro 'Columbia / Legend Blue' 2024,"$2,633"
Wmns Gel 1130 'White Silver Pink',$199
Campus 80s 'Culture of Los Angeles',$33
Yeezy Boost 350 V2 'Static Non-Reflective' 2023,$182
Air Jordan 1 Mid 'Wolf Grey Midnight Navy',$100
Travis Scott x Air Jordan 1 Low OG PS 'Reverse Mocha',$194
FaZe Clan x Zoom LeBron NXXT Gen 'Bred',$74
adiFOM Supernova 'Wonder White',$37
Slipstream Lo 'Wabi-Sabi',$37
Comme des Garçons Homme Plus x Air Foamposite One SP 'Cat Eye',$513
Air Jordan 1 Mid SE GS 'Oxidized Green',$74
Air Force 1 SP 'Perforated Black',$65
XT-6 'Vanilla Ice Fired Brick',$207
Off-White x Wmns Air Jordan 4 Retro SP 'Sail',$665
Salehe Bembury x Pollex Juniper 'Tahini',$156
2002R 'Sandstone Timberwolf',$129
Wmns Gel 1130 'Cream Clay Grey',$109
Star Wars x Nanzuka x NMD_R1 'Darth Vader',$138
LeBron 21 'The World is Your Oyster',$123
GT 2160 'Paris',$91
Wmns Air Jordan 1 Low Method of Make 'Black',$94
Zoom LeBron NXXT Gen AMPD 'Black Metallic Gold Red',$118
Gel Lyte 3 OG 'Colored Toe Pack - Sage',$37
Jordan Tatum 2 'Lemonade',$100
Jonquel Jones x Wmns KD 17 'Bahamas',$112
Wmns Sambarose 'Legend Marine',$37
Air Max 95 'Toronto',$176
Air Jordan 3 Retro 'Midnight Navy',$189
Dunk Low Pro SB 'Freddy Krueger',"$116,376"
Air Zoom Spiridon Cage 2 'Black Anthracite',$152
Samba OG 'White Black Gum',$84
Dunk Low Pro SB 'Escargot',$82
Suede Classic 21 'Black White',$37
Way of Wade 10 Low 'Cherry Blossom',$198
9060 'Taro Plum Brown',$161
Mexico 66 'Birch Peacoat',$146
9060 'Chrome Blue',$138
Bad Bunny x Gazelle Indoor 'San Juan',$246
Harden Vol. 8 'Black Yellow',$155
Wmns Samba OG 'Metallic Purple Gum',$105
550 'Oreo',$80
KD 17 'Late Night',$112
Air Jordan 11 Retro Low TD 'Diffused Blue',$65
Air Yeezy 2 SP 'Red October',"$9,968"
Speedcat OG 'Black White',$104
Blazer Mid '77 Vintage 'White Black',$62
Rick Owens Porterville DRKSHDW Vintage Low 'Black Milk',$552
Rayssa Leal x Dunk Low SB,$150
Zoom Kobe 5 Protro 'X-Ray',$681
Wmns Air Jordan 1 Low 'Jade Smoke',$85
J. Balvin x Air Jordan 3 Retro 'Rio',$221
Wmns Gazelle 'Bliss Pink Purple',$101
Air Jordan 12 Retro GS 'Barons',$142
Jordan Tatum 2 'Red Cement',$104
Friday The 13th x All-Terrain Clog 'Horror Pack - Jason',$94
Air Zoom GT Cut 3 'Blueprint Pack',$163
Air Terra Humara 'Triple Black',$135
1906R 'Light Mushroom Black',$164
Jordan Spizike Low 'Obsidian',$129
Air DT Max ’96 'Black White' 2024,$167
Mad IIInfinity 'Core Black Red',$139
Marvel x Air Jordan 1 Retro High OG 'Next Chapter',$120
Superblast 2 'Paris',$259
Air Jordan 9 Retro 'Powder Blue' 2024,$153
Dunk Low 'Reverse Goldenrod',$85
MSCHF Big Red Boot,$222
480 'Sea Salt Heron Blue',$112
Super Team 'No 14',$66
Air Zoom GT Cut 3 'Ashen Slate',$135
Air Zoom GT Hustle 3 EP 'Hyper Pink',$163
Wmns Air Jordan 3 Retro 'Georgia Peach',$142
Air Max 95 Essential 'Triple Black',$137
PS8 SB 'Electric Pack',$125
Dunk Low Premium 'Light British Tan',$107
Yeezy Boost 350 V2 Infants 'Bone',$87
Air Jordan 4 Retro 'Lightning' 2021,$262
Way of Wade 808 4 Ultra 'Family Love',$142
Foot Locker x Samba OG '50th Anniversary',$110
Wmns Sabrina 2 'USA',$110
Bapesta #4 M1 'Black',$249
Wmns Sabrina 2 'Court Vision',$128
9060 'Moonrock Linen',$117
Wmns SL72 OG 'Preloved Brown',$112
Gel NYC 'Cream Cloud Grey',$156
Air Max 180 'Concord' 2024,$129
Louis Vuitton x Air Force 1 Low 'Monogram Damier' Pilot Case,"$25,012"
UltraBoost Summer.RDY 'Grey Signal Green',$37
Wmns Court Legacy Lift 'Light Army',$198
Air Jordan 1 Retro Low '85 OG 'Metallic Black',$189
Dunk Low SE 'Baltic Blue Gum',$108
Yeezy Boost 350 'Pirate Black' 2023,$176
Harden Vol. 8 'Luxury Red',$153
Air Max Ishod Wair SB 'Star Blue',$72
A Ma Maniére x Air Jordan 39 'While You Were Sleeping',$337
Kith x Marvel x GT 2160 'Green Goblin',$272
Wmns Sabrina 2 'Conductor',$112
Air Jordan 1 Retro High OG 'Dark Mocha',$351
BAPE x Dame 9 'Black Scarlet',$172
Gel 1130 GS 'White Midnight',$105
Air Max 1 'Olympic',$88
Wmns Air Zoom Pegasus 39 'Black Zebra Iridescent',$33
Air Jordan 1 Retro Low OG EX 'Coconut Milk',$46
Air Max 1 Essential 'Phantom Khaki',$92
Lanvin Wmns Curb Light Sneakers 'White' 2023,$458
Tubular Nova PK 'Black',$37
KD 15 NRG 'Aunt Pearl',$197
Wmns Air Jordan 1 Retro High OG 'Satin Shadow',$169
Kith x Marvel x Gel 1130 'Magneto',$272
Crater Impact TD 'Summit White Grey Fog',$37
Yeezy Boost 350 V2 Kids 'Bone',$94
Yeezy Powerphase Calabasas 'Core Black',$36
Air Jordan 1 Retro High OG 'Heritage',$89
Club C Revenge 'Chalk Flash Red',$48
Salehe Bembury x Pollex Clog 'Tide',$75
Air Jordan 3 Retro SE Craft 'Ivory',$190
Motiva 'White Pure Platinum',$121
Yeezy Slides Kids 'Bone',$78
Air Jordan 1 Low 'Triple White' 2022,$104
Jordan Spizike Low 'Motion Pack',$127
Wmns Dunk Low LX 'Ale Brown Ostrich',$46
Air Jordan 1 Mid 'Gym Red Black Toe',$82
Gel 1130 'White Tuna Blue',$114
Tom Sachs x NikeCraft General Purpose Shoe 'Brown',$61
Balenciaga Track Sneaker 'Triple Black',$808
Air Jordan 12 Retro 'Blueberry',$281
Wmns Dunk Low Next Nature 'Aster Pink',$90
Dunk Low SB 'Black Gum',$102
Nano Premium 'Pristine',$37
Gel Kayano 14 'Cream Denim Blue',$161
Wmns Japan 'White Black',$104
Samba OG 'Snakeskin Pack',$132
Air Jordan 5 Retro 'Fire Red' 2020,$242
Jordan Max Aura 5 'Black Anthracite',$74
Off-White Glove Slip On 'White',$292
Air Jordan 1 Centre Court 'Banned',$49
Jordan Luka 3 'Speedway',$118
Jordan Air 200E 'Summit White',$62
Wmns Stan Smith 'Cloud White Leopard',$65
Air Foamposite One 'Anthracite' 2023,$191
Air Jordan 1 Mid SE PS 'Oxidized Green',$52
Jordan Luka 3 'Motorsport',$112
Dame 9 'Purple Burst',$121
Air Jordan 14 Retro 'Black Toe' 2024,"$2,244"
Wmns Air Zoom Vomero 5 'Black White',$188
Wmns Air Force 1 '07 LX 'Be The One',$119
Dunk Low SE 'Suede Panda',$80
Wmns Gazelle Indoor 'Collegiate Green Pink',$90
Jordan Eclipse,$155
Wmns Gazelle Bold 'Spark Lucid Pink',$126
Air Jordan 1 Retro Low OG 'Shadow' 2024,$114
Wmns Samba OG 'White Floral Embroidery',$128
Way of Wade 808 3 'Family Love',$85
Supreme x Air Force 1 Mid 'Box Logo - Triple Black',$168
Clyde 'TM',$37
Jordan Jumpman Jack TR 'Bright Cactus',"$1,622"
Wmns Gazelle 'Red Solar Orange',$112
Mexico 66 'Kill Bill' 2023,$145
Air Foamposite One 'Light Orewood Brown',$120
Gazelle Indoor 'Crew Yellow',$112
Zoom LeBron NXXT Gen AMPD EP 'Black Metallic Gold Red',$145
Wmns Handball Spezial 'Bright Red Clear Pink',$111
Wmns Samba OG 'Cream White Sand Strata',$115
Air Max 180 'Black Dusty Cactus',$122
Gazelle Indoor 'Preloved Yellow Dark Blue',$68
Jordan True Flight Mid 'Cool Grey Black',$37
MB.02 'Oreo',$65
Stella McCartney x Wmns UltraBoost 21 'Metallic',$37
Air Jordan 39 'Lumiere',$207
550 'White Grey',$81
Dunk Low SB 'Sandy Bodecker',$112
Paris Saint-Germain x Air Jordan 1 Retro Low OG 'Sail Pink Oxford',$172
Samba OG 'Night Navy Gum',$103
1000 'Angora Moonrock',$111
Dunk High 'San Francisco Pack - Gold Mountain',$93
Ja 1 'Mismatched',$106
Wmns Air Force 1 '07 LX 'Black Silver Mini Swoosh',$118
550 'Red Atlantic Blue',$77
Wmns Gazelle Bold 'Wonder Quartz Black Gum',$116
Wmns V2K Run 'White Light Orewood Brown',$82
Wmns Jordan Legacy 312 Low 'Black Cement',$171
Air Jordan 3 Retro GS 'Cement Grey',$92
Wmns Gazelle Indoor 'Blue Fusion Gum',$108
Dunk Low 'Midnight Navy Smoke Grey',$108
Travis Scott x Air Jordan 1 Low OG TD 'Reverse Mocha',$191
Air Jordan 4 Retro SE 'Black Canvas',$346
Giannis Freak 6 'Naija',$167
Book 1 'Sunrise',"$2,012"
Wmns Japan 'Scarlet',$113
Air Max Plus 'Aquarius Blue',$130
Dunk Low PS 'Black White',$49
Way of Wade 10 Low 'Cold Ice',$196
ZNCHILL Lightmotion+ 'White Gum',$42
Wmns Samba OG 'White Halo Blue Gum',$101
Wmns Dunk Low LX 'Be The One',$106
9060 'Arctic Grey',$182
Ja 1 'NY vs. NY',$96
GT 2160 'Oxidized Metal Pack - Mauve Grey',$102
Air Jordan 1 Retro High OG 'Black Metallic Gold',$172
Numeric 480 'Black White Gum',$131
Air Max Impact 4 'White Navy Light Violet Ore',$84
610 'Enamel Pack - Black',$112
Puig Indoor 'Court Green',$71
Dunk Low Premium 'Medium Curry',$99
Air Jordan 1 Low 'Midnight Navy',$113
Fear of God Athletics x I BASKETBALL 'Sesame Carbon',$162
Kyrie Infinity TB Promo 'University Gold',$37
Classic Slip-On 'Checkerboard',$37
P. Andrade x Gel Kayano 14 'Gradation Green',$181
